16:10:48.513 -> off_100ms,on_200ms,on_150ms,on_100ms,on_50ms,on_20ms,on_10ms
16:15:05.524 -> 10,606,459,308,158,66,38
16:15:06.134 -> 6,606,458,308,157,67,35
16:15:06.790 -> 7,605,458,308,159,67,35
16:15:07.400 -> 7,606,458,308,157,65,38
16:15:08.056 -> 8,605,458,309,158,66,37
16:15:08.665 -> 6,606,458,310,158,67,37
16:15:09.321 -> 6,604,459,309,158,66,37
16:15:09.930 -> 7,606,458,309,159,66,36
16:15:10.586 -> 10,605,457,309,157,66,37
16:15:11.196 -> 10,606,459,308,158,68,36
16:15:11.852 -> 10,606,457,309,158,67,35
16:15:12.461 -> 9,606,459,309,157,67,35
16:15:13.117 -> 9,605,458,308,158,68,35
16:15:13.726 -> 9,605,458,309,158,66,35
16:15:14.338 -> 6,606,458,309,158,67,37
16:15:14.994 -> 7,606,457,309,159,66,35
16:15:15.602 -> 9,606,457,309,158,66,37
16:15:16.258 -> 10,607,458,309,158,67,38
16:15:16.868 -> 6,606,458,309,157,68,35
16:15:17.520 -> 6,606,459,310,158,67,35
16:15:18.129 -> 8,606,458,310,158,66,37
16:15:18.785 -> 10,607,457,309,158,67,35
16:15:19.394 -> 8,605,458,308,158,67,36
16:15:20.018 -> 9,605,458,310,158,67,37
16:15:20.674 -> 10,606,458,310,159,67,36
16:15:21.284 -> 11,606,459,309,157,66,35
16:15:21.940 -> 6,606,458,310,157,68,38
16:15:22.549 -> 6,607,459,309,159,66,35
16:15:23.206 -> 9,606,459,310,157,68,36
16:15:23.816 -> 6,606,460,309,159,66,35
16:15:24.471 -> 9,607,459,308,159,66,37
16:15:25.089 -> 9,606,459,310,159,67,37
16:15:25.745 -> 7,606,459,309,158,67,36
16:15:26.355 -> 7,607,458,309,158,68,37
16:15:27.011 -> 6,607,459,309,158,68,37
16:15:27.620 -> 6,607,458,309,158,66,37
16:15:28.265 -> 7,606,458,309,159,69,37
16:15:28.874 -> 10,606,459,308,158,68,37
16:15:29.529 -> 9,606,458,310,158,66,35
16:15:30.138 -> 8,608,459,309,158,68,35
16:15:30.757 -> 7,606,459,309,158,67,37
16:15:31.413 -> 7,607,459,310,158,66,38
16:15:32.023 -> 10,606,459,309,157,67,37
16:15:32.680 -> 10,606,459,310,159,67,36
16:15:33.289 -> 6,606,459,308,158,67,35
16:15:33.934 -> 8,606,458,309,158,67,37
16:15:34.544 -> 9,607,459,308,159,66,37
16:15:35.199 -> 7,607,460,310,158,66,36
16:15:35.803 -> 7,606,459,310,157,67,36
16:15:36.461 -> 7,606,459,310,159,66,37
16:15:37.070 -> 8,607,460,310,159,68,36
16:15:37.724 -> 9,608,459,309,158,67,37
16:15:38.335 -> 6,607,459,309,158,67,37
16:15:38.991 -> 10,608,461,308,158,67,37
16:15:39.600 -> 10,608,459,310,158,68,36
16:15:40.257 -> 9,607,459,310,159,66,36
16:15:40.866 -> 9,608,459,310,158,68,35
16:15:41.522 -> 6,607,460,309,159,67,38
16:15:42.132 -> 10,608,459,310,159,67,37
16:15:42.788 -> 6,608,459,310,159,68,34
16:15:43.398 -> 6,607,459,311,159,68,37
16:15:44.054 -> 10,608,460,309,158,67,35
16:15:44.656 -> 6,607,459,310,157,66,37
16:15:45.312 -> 8,608,460,310,159,67,37
16:15:45.921 -> 7,608,459,310,159,67,37
16:15:46.579 -> 10,608,461,310,159,67,37
16:15:47.176 -> 8,608,460,309,158,67,35
16:15:47.831 -> 10,608,460,309,158,69,36
16:15:48.440 -> 7,608,460,310,159,66,35
16:15:49.097 -> 9,607,461,309,158,67,37
16:15:49.705 -> 9,608,460,309,158,67,35
16:15:50.361 -> 7,608,460,310,159,66,37
16:15:50.970 -> 6,607,461,309,158,67,37
16:15:51.620 -> 10,607,458,310,159,67,38
16:15:52.229 -> 8,608,460,309,158,67,35
16:15:52.885 -> 10,608,459,310,159,68,37
16:15:53.494 -> 10,607,460,309,160,66,34
16:15:54.141 -> 6,608,460,309,158,68,36
16:15:54.750 -> 6,608,459,309,158,67,38
16:15:55.420 -> 6,608,460,310,158,67,36
16:15:56.021 -> 10,607,460,310,159,68,35
16:15:56.677 -> 6,608,460,310,158,67,34
16:15:57.286 -> 6,607,461,310,159,66,36
16:15:57.953 -> 6,608,459,310,159,67,37
16:15:58.562 -> 7,607,460,311,158,67,35
16:15:59.171 -> 9,608,460,309,159,68,37
16:15:59.827 -> 9,607,459,311,159,66,35
16:16:00.437 -> 8,608,460,310,158,67,37
16:16:01.093 -> 9,609,461,309,159,68,36
16:16:01.703 -> 9,608,459,309,159,66,37
16:16:02.359 -> 7,607,460,309,159,67,38
16:16:02.970 -> 6,608,460,309,159,67,37
16:16:03.626 -> 7,608,460,310,159,66,37
16:16:04.235 -> 6,608,461,310,158,67,37
16:16:04.891 -> 8,609,460,310,159,67,35
16:16:05.501 -> 9,608,460,309,159,68,37
16:16:06.157 -> 6,608,460,311,158,67,36
16:16:06.766 -> 8,609,460,310,159,66,37
16:16:07.413 -> 9,608,460,309,159,66,37
16:16:08.022 -> 6,608,460,310,159,66,37
16:16:08.678 -> 8,609,461,309,158,67,37
16:16:09.288 -> 9,608,461,309,159,69,38
16:16:09.912 -> 7,609,461,311,158,67,38
16:16:10.570 -> 8,608,460,311,158,69,36
16:16:11.179 -> 10,609,461,311,159,67,38
16:16:11.788 -> 6,608,460,310,158,67,37
16:16:12.444 -> 10,608,460,310,159,67,36
16:16:13.054 -> 10,608,460,309,159,67,34
16:16:13.709 -> 9,608,461,310,159,67,37
16:16:14.319 -> 6,609,460,311,159,67,38
16:16:14.962 -> 9,609,462,311,159,67,37
16:16:15.616 -> 8,608,462,310,158,67,37
16:16:16.227 -> 7,608,460,310,158,69,37
16:16:16.883 -> 10,609,461,311,158,67,37
16:16:17.492 -> 10,609,461,311,159,67,35
16:16:18.149 -> 10,609,462,310,159,67,35
16:16:18.758 -> 9,609,461,311,159,68,36
16:16:19.367 -> 9,609,461,311,159,66,35
16:16:20.023 -> 9,608,460,310,159,67,36
16:16:20.630 -> 9,609,461,310,159,67,39
16:16:21.287 -> 10,609,462,311,159,67,37
16:16:21.897 -> 10,610,460,310,159,66,37
16:16:22.553 -> 10,610,461,310,159,68,37
16:16:23.162 -> 6,611,461,310,159,67,34
16:16:23.818 -> 8,609,462,311,159,65,38
16:16:24.428 -> 7,611,461,311,160,66,36
16:16:25.085 -> 9,609,460,311,159,68,37
16:16:25.697 -> 9,609,461,311,158,67,38
16:16:26.354 -> 6,609,462,310,159,67,36
16:16:26.962 -> 9,609,461,309,158,67,36
16:16:27.619 -> 7,609,460,311,159,67,38
16:16:28.228 -> 10,610,461,310,159,67,38
16:16:28.884 -> 7,610,460,311,159,67,37
16:16:29.494 -> 10,610,461,311,159,67,35
16:16:30.150 -> 7,610,460,312,159,67,35
16:16:30.759 -> 6,610,461,310,159,68,38
16:16:31.415 -> 8,609,461,310,159,66,37
16:16:32.024 -> 10,610,461,311,158,67,37
16:16:32.680 -> 7,609,462,311,159,68,37
16:16:33.289 -> 10,609,462,312,159,66,37
16:16:33.946 -> 7,610,462,310,159,68,37
16:16:34.555 -> 7,609,461,310,159,66,36
16:16:35.211 -> 9,609,461,313,159,68,36
16:16:35.820 -> 8,610,460,311,159,66,35
16:16:36.445 -> 10,610,461,311,159,68,37
