12:02:07.027 ->   Timestamp | Background value | Measured value | Final value 
12:03:47.519 ->  0000100600 |                0 |            691 |      0.6748
12:03:47.987 ->  0000101100 |                0 |            691 |      0.6748
12:03:48.503 ->  0000101600 |                0 |            690 |      0.6738
12:03:48.988 ->  0000102100 |                0 |            691 |      0.6748
12:03:49.505 ->  0000102600 |                0 |            691 |      0.6748
12:03:50.021 ->  0000103100 |                0 |            691 |      0.6748
12:03:50.488 ->  0000103601 |                0 |            690 |      0.6738
12:03:51.005 ->  0000104101 |                0 |            691 |      0.6748
12:03:51.521 ->  0000104601 |                0 |            691 |      0.6748
12:03:51.989 ->  0000105101 |                0 |            692 |      0.6758
12:03:52.505 ->  0000105602 |                0 |            692 |      0.6758
12:03:52.973 ->  0000106102 |                0 |            690 |      0.6738
12:03:53.490 ->  0000106602 |                0 |            691 |      0.6748
12:03:54.006 ->  0000107103 |                0 |            691 |      0.6748
12:03:54.474 ->  0000107603 |                0 |            692 |      0.6758
12:03:55.005 ->  0000108103 |                0 |            691 |      0.6748
12:03:55.521 ->  0000108603 |                0 |            692 |      0.6758
12:03:55.989 ->  0000109104 |                0 |            690 |      0.6738
12:03:56.504 ->  0000109604 |                0 |            690 |      0.6738
12:03:56.973 ->  0000110104 |                0 |            692 |      0.6758
12:03:57.490 ->  0000110604 |                0 |            692 |      0.6758
12:03:58.005 ->  0000111105 |                0 |            691 |      0.6748
12:03:58.474 ->  0000111604 |                0 |            692 |      0.6758
12:03:58.989 ->  0000112104 |                0 |            691 |      0.6748
12:03:59.505 ->  0000112605 |                0 |            691 |      0.6748
12:03:59.973 ->  0000113104 |                0 |            691 |      0.6748
12:04:00.489 ->  0000113604 |                0 |            691 |      0.6748
12:04:01.005 ->  0000114104 |                0 |            691 |      0.6748
12:04:01.520 ->  0000114604 |                0 |            691 |      0.6748
12:04:01.988 ->  0000115104 |                0 |            691 |      0.6748
12:04:02.504 ->  0000115604 |                0 |            691 |      0.6748
12:04:02.973 ->  0000116104 |                0 |            691 |      0.6748
12:04:03.488 ->  0000116604 |                0 |            692 |      0.6758
12:04:04.004 ->  0000117104 |                0 |            691 |      0.6748
12:04:04.489 ->  0000117603 |                0 |            691 |      0.6748
12:04:05.006 ->  0000118104 |                0 |            691 |      0.6748
12:04:05.474 ->  0000118604 |                0 |            692 |      0.6758
12:04:05.990 ->  0000119104 |                0 |            691 |      0.6748
12:04:06.505 ->  0000119605 |                0 |            692 |      0.6758
12:04:06.960 ->  0000120105 |                0 |            691 |      0.6748
12:04:07.479 ->  0000120605 |                0 |            692 |      0.6758
12:04:07.994 ->  0000121105 |                0 |            690 |      0.6738
12:04:08.464 ->  0000121606 |                0 |            692 |      0.6758
12:04:08.980 ->  0000122106 |                0 |            691 |      0.6748
12:04:09.496 ->  0000122606 |                0 |            691 |      0.6748
12:04:10.010 ->  0000123106 |                0 |            690 |      0.6738
12:04:10.479 ->  0000123607 |                0 |            692 |      0.6758
12:04:10.995 ->  0000124107 |                0 |            691 |      0.6748
12:04:11.497 ->  0000124607 |                0 |            691 |      0.6748
12:04:11.966 ->  0000125108 |                0 |            691 |      0.6748
12:04:12.482 ->  0000125608 |                0 |            691 |      0.6748
12:04:12.991 ->  0000126108 |                0 |            691 |      0.6748
12:04:13.460 ->  0000126608 |                0 |            692 |      0.6758
12:04:13.976 ->  0000127109 |                0 |            691 |      0.6748
12:04:14.492 ->  0000127609 |                0 |            692 |      0.6758
12:04:14.961 ->  0000128109 |                0 |            691 |      0.6748
12:04:15.476 ->  0000128609 |                0 |            691 |      0.6748
12:04:15.992 ->  0000129110 |                0 |            691 |      0.6748
12:04:16.460 ->  0000129610 |                0 |            690 |      0.6738
12:04:16.976 ->  0000130110 |                0 |            690 |      0.6738
12:04:17.493 ->  0000130611 |                0 |            691 |      0.6748
12:04:17.961 ->  0000131111 |                0 |            691 |      0.6748
12:04:18.477 ->  0000131611 |                0 |            692 |      0.6758
12:04:18.993 ->  0000132111 |                0 |            692 |      0.6758
12:04:19.464 ->  0000132612 |                0 |            691 |      0.6748
12:04:19.979 ->  0000133112 |                0 |            691 |      0.6748
12:04:20.498 ->  0000133612 |                0 |            691 |      0.6748
12:04:20.966 ->  0000134112 |                0 |            690 |      0.6738
12:04:21.482 ->  0000134611 |                0 |            691 |      0.6748
12:04:21.997 ->  0000135111 |                0 |            691 |      0.6748
12:04:22.466 ->  0000135611 |                0 |            692 |      0.6758
12:04:22.981 ->  0000136111 |                0 |            691 |      0.6748
