i1	V(n008)
1.819700858609921e-03	1.269175e+00
1.847849797422228e-03	1.269746e+00
1.876434171956021e-03	1.270318e+00
1.905460717963182e-03	1.270891e+00
1.934936275390886e-03	1.271464e+00
1.964867789993400e-03	1.272037e+00
1.995262314968811e-03	1.272610e+00
2.026127012621073e-03	1.273184e+00
2.057469156047768e-03	1.273759e+00
2.089296130853967e-03	1.274333e+00
2.121615436892611e-03	1.274909e+00
2.154434690031809e-03	1.275484e+00
2.187761623949476e-03	1.276060e+00
2.221604091955734e-03	1.276637e+00
2.255970068843497e-03	1.277213e+00
2.290867652767692e-03	1.277791e+00
2.326305067153544e-03	1.278368e+00
2.362290662634378e-03	1.278947e+00
2.398832919019405e-03	1.279525e+00
2.435940447291940e-03	1.280104e+00
2.473621991638533e-03	1.280684e+00
2.511886431509490e-03	1.281264e+00
2.550742783711267e-03	1.281845e+00
2.590200204531231e-03	1.282426e+00
2.630267991895287e-03	1.283007e+00
2.670955587558888e-03	1.283589e+00
2.712272579331930e-03	1.284172e+00
2.754228703338067e-03	1.284755e+00
2.796833846308975e-03	1.285339e+00
2.840098047914112e-03	1.285923e+00
2.884031503126501e-03	1.286508e+00
2.928644564625130e-03	1.287093e+00
2.973947745234498e-03	1.287679e+00
3.019951720401906e-03	1.288265e+00
3.066667330713071e-03	1.288853e+00
3.114105584446645e-03	1.289440e+00
3.162277660168263e-03	1.290029e+00
3.211194909364705e-03	1.290617e+00
3.260868859118813e-03	1.291207e+00
3.311311214825789e-03	1.291797e+00
3.362533862951503e-03	1.292388e+00
3.414548873833476e-03	1.292979e+00
3.467368504525188e-03	1.293572e+00
3.521005201684389e-03	1.294164e+00
3.575471604506080e-03	1.294758e+00
3.630780547700878e-03	1.295352e+00
3.686945064519438e-03	1.295947e+00
3.743978389823671e-03	1.296543e+00
3.801893963205470e-03	1.297139e+00
3.860705432153668e-03	1.297736e+00
3.920426655270005e-03	1.298334e+00
3.981071705534822e-03	1.298932e+00
4.042654873623291e-03	1.299532e+00
4.105190671272924e-03	1.300132e+00
4.168693834703197e-03	1.300733e+00
4.233179328088048e-03	1.301335e+00
4.298662347082114e-03	1.301937e+00
4.365158322401494e-03	1.302541e+00
4.432682923459919e-03	1.303145e+00
4.501252062061164e-03	1.303750e+00
4.570881896148575e-03	1.304356e+00
4.641588833612601e-03	1.304963e+00
4.713389536157224e-03	1.305571e+00
4.786300923226199e-03	1.306180e+00
4.860340175990029e-03	1.306790e+00
4.935524741394615e-03	1.307400e+00
5.011872336272529e-03	1.308012e+00
5.089400951517892e-03	1.308625e+00
5.168128856325833e-03	1.309238e+00
5.248074602497521e-03	1.309853e+00
5.329257028811795e-03	1.310468e+00
5.411695265464424e-03	1.311085e+00
5.495408738576030e-03	1.311703e+00
5.580417174769745e-03	1.312321e+00
5.666740605819690e-03	1.312941e+00
5.754399373371343e-03	1.313562e+00
5.843414133734946e-03	1.314184e+00
5.933805862753046e-03	1.314808e+00
6.025595860743339e-03	1.315432e+00
6.118805757517978e-03	1.316058e+00
6.213457517480511e-03	1.316684e+00
6.309573444801682e-03	1.317312e+00
6.407176188675283e-03	1.317942e+00
6.506288748655313e-03	1.318572e+00
6.606934480075697e-03	1.319204e+00
